Word,Frequency
block,23
galgotias,15
worst,13
bekar,12
btech,12
koi,11
lag,11
don,10
mujhe,10
year,10
cancel,10
cse,9
shame,9
liye,9
galgotia,9
lena,9
bad,8
nhi,8
fake,8
rha,7
maine,7
bba,7
fraud,7
gir,7
india,7
option,6
last,6
summit,6
ache,6
dear,6
agar,6
pracheeverma,6
yha,6
dekh,6
low,6
fail,5
pay,5
global,5
reply,5
bca,5
rahe,5
mil,5
clg,5
tech,5
waste,5
toh,5
provide,5
time,5
baat,5
say,5
sure,5
dusre,4
sorry,4
kia,4
fees,4
offline,4
lakh,4
bhaii,4
bcom,4
konse,4
scam,4
galat,4
image,4
raha,4
gye,4
confused,4
kisi,4
addmission,4
pls,4
hota,4
fee,4
ece,4
regret,3
worth,3
bol,3
call,3
sirf,3
jata,3
axe,3
hons,3
support,3
now,3
konsa,3
charges,3
anyone,3
galgotiya,3
diya,3
abhi,3
bsc,3
padega,3
dance,3
jayega,3
side,3
lekin,3
budget,3
cuet,3
place,3
views,3
choice,3
doubt,3
