Word,Frequency
liye,101
galgotias,92
best,81
nhi,73
galgotia,68
cse,55
bajaj,51
noida,49
yes,48
better,48
btech,46
sahi,45
mba,44
koi,42
pls,41
mujhe,38
acha,38
reply,37
dear,37
mein,37
pracheeverma,36
suggest,34
tell,34
help,34
lena,33
mca,30
bba,30
bsc,30
kaisa,29
bca,29
gcet,28
toh,23
bpt,22
rha,22
well,20
iilm,20
robo,20
accha,20
bata,19
dog,19
greater,19
konsa,18
tech,18
jee,18
china,18
join,18
kiya,17
chahiye,17
clg,17
engineering,17
agar,17
year,16
mil,16
worth,16
main,16
rahega,16
bta,15
option,15
don,15
krna,15
fees,14
galgotiya,14
abhi,14
thik,14
dii,13
dijiye,13
diya,13
degree,13
hun,13
sakta,13
raha,13
yaha,13
rhe,12
baar,12
yahi,12
niet,12
choose,12
liya,12
nursing,12
addmission,12
rank,12
gya,12
lakh,12
kuch,12
maine,11
agr,11
aktu,11
hoti,11
rhega,11
fee,11
achi,11
information,11
now,11
padhai,11
hota,11
hote,11
rahe,10
kon,10
amazing,10
agriculture,10
