Word,Frequency
liye,246
nhi,209
galgotias,177
galgotia,153
cse,128
kaisa,127
btech,112
mba,105
mujhe,103
lena,90
koi,86
best,85
bca,80
mein,76
bpt,74
bsc,73
pracheeverma,69
bba,65
liya,65
year,62
noida,61
fees,61
addmission,61
toh,58
gcet,56
rha,55
mca,52
bajaj,52
reply,51
better,50
abhi,49
yes,49
maine,48
direct,47
mil,47
sahi,46
tell,46
pls,45
suggest,43
chahiye,43
dear,43
jayega,41
jee,40
acha,40
kiya,40
thankyou,40
clg,39
raha,37
tech,37
hota,36
diya,35
help,35
kuch,35
lia,34
galgotiya,34
yaha,34
don,33
agar,33
main,32
rhe,32
pcm,31
fee,31
lakh,31
rank,30
bata,30
bta,30
dekh,30
kitna,30
iilm,29
krna,29
science,27
option,27
nursing,27
sakte,27
kon,27
block,26
konsa,26
gya,26
engineering,26
dog,26
thik,26
shi,26
biotechnology,25
last,25
yha,25
rahega,25
raja,24
niu,24
basit,24
hoti,24
anyone,24
now,23
rahe,23
kisi,22
rhega,22
lene,22
well,22
sakta,22
china,22
baat,22
