Word,Frequency
iit,80
bombay,29
nhi,22
people,13
kuch,12
hard,12
study,11
poor,10
jee,10
don,10
toh,9
work,9
koi,9
iits,9
mein,8
without,8
iitb,8
problem,8
saal,8
rha,8
banana,8
time,8
lag,8
year,7
life,7
hota,7
log,7
family,7
years,7
money,7
even,6
experience,6
food,6
ban,6
mei,6
able,6
btech,6
bad,6
jyada,6
india,6
high,6
abhi,5
liye,5
government,5
baad,5
rama,5
fake,5
tak,5
mil,5
girls,5
days,5
kanpur,5
tho,5
package,5
eat,5
preparation,5
private,5
educated,5
karne,5
leaf,5
waste,5
studyi,5
sirf,5
name,5
milta,5
indian,5
gaya,5
city,4
hyderabad,4
world,4
mujhe,4
hoti,4
pass,4
room,4
apne,4
tough,4
khana,4
gya,4
better,4
syllabus,4
gonna,4
nit,4
actually,4
crack,4
song,4
dekh,4
dream,4
now,4
dude,4
lekin,4
tier,4
matter,4
way,4
non,4
mark,4
words,4
fear,4
reality,4
end,4
nah,4
