Word,Frequency
iit,286
bombay,107
best,99
dream,84
love,47
nhi,40
jee,40
life,38
pls,34
don,32
sahi,29
food,29
study,28
yes,28
india,28
people,27
tell,27
top,26
now,24
cute,24
iits,24
year,23
security,23
delhi,23
hota,22
god,22
details,21
time,21
khana,20
toh,20
wow,19
nit,19
years,19
cyber,18
next,18
engineering,18
enjoy,18
even,18
work,17
mujhe,17
liye,17
iitb,17
mumbai,16
motivation,16
happy,16
better,16
acha,16
indian,16
right,16
kuch,15
culture,14
advanced,14
girl,14
haryana,14
true,13
proud,13
dont,13
beautiful,13
yeah,13
festival,13
lucky,12
well,12
etc,12
lekin,12
par,12
kharagpur,12
start,12
pongal,11
south,11
luck,11
phd,11
koi,11
super,11
hua,11
place,11
special,11
clear,11
jyada,11
iisc,11
tax,11
last,10
sure,10
institute,10
kam,10
show,10
reply,10
help,10
hard,10
raha,10
abhi,10
free,10
thing,10
job,10
hope,10
money,10
city,9
bless,9
roorkee,9
din,9
congratulations,9
