Word,Frequency
iit,1103
bombay,344
nit,217
delhi,172
trichy,153
nhi,118
best,101
dream,99
haryana,99
jee,81
kanpur,71
next,69
madras,66
mumbai,66
aiims,66
kharagpur,66
food,65
india,64
toh,63
engineering,59
life,58
hota,57
kuch,54
liye,53
year,51
study,50
don,49
people,48
love,47
khana,46
soon,45
now,44
koi,44
iitb,43
indian,43
time,40
chahiye,40
mein,40
iits,40
south,39
roorkee,39
rha,38
years,37
log,37
par,36
guwahati,36
pls,36
mujhe,34
iisc,34
girls,33
hua,33
tell,32
culture,31
institute,30
bhu,29
pune,29
raha,29
sahi,29
work,29
even,29
abhi,28
rank,28
top,28
yes,28
day,27
technology,27
cute,27
name,26
hindi,26
kha,26
jyada,26
girl,25
bangalore,25
saal,25
god,25
patna,24
hoti,24
hard,24
money,24
right,24
security,23
mehnat,23
lekin,23
apne,23
phd,23
banana,23
main,22
wow,22
gaya,22
dekh,22
job,22
itna,22
hote,22
padhai,21
bol,21
last,21
karne,21
details,21
jana,20
better,20
