Word,Frequency
degree,27
iit,24
btech,21
online,12
jee,11
package,10
people,10
lpa,10
lowest,9
even,9
don,9
lakh,8
ask,7
iitm,7
science,6
life,6
lie,6
building,6
tamil,6
worst,6
kia,6
sessions,5
hard,5
madras,5
indian,5
bad,5
nhi,5
years,5
old,5
waste,5
join,5
tech,5
clear,4
keep,4
log,4
days,4
rha,4
banate,4
data,4
fees,4
drop,4
time,4
nobody,4
ban,4
jobs,4
asked,4
questions,4
idea,4
offline,4
year,4
india,4
skills,4
engineering,4
msc,4
program,4
said,3
today,3
doubt,3
research,3
lag,3
accenture,3
companies,3
things,3
system,3
singapore,3
options,3
entry,3
raha,3
maine,3
salary,3
working,3
instructors,3
useful,3
lower,3
equal,3
sad,3
world,3
missed,3
walo,3
pass,3
computer,3
english,3
maths,3
lot,3
bsc,3
miss,3
real,3
general,3
learning,3
marks,3
details,3
father,3
mtech,3
mca,3
software,3
fails,3
engineer,3
fee,3
due,3
iits,3
