Word,Frequency
iit,226
degree,90
madras,82
pls,70
best,66
dream,48
dance,37
year,37
jee,34
india,32
yes,31
join,26
btech,24
top,23
science,23
beautiful,22
engineering,21
years,20
help,20
love,19
iitm,18
don,18
well,17
time,17
level,17
bombay,17
data,16
online,16
free,16
better,16
delhi,16
bsc,16
study,16
work,16
mein,15
liye,15
people,15
even,15
advanced,14
hard,14
nhi,14
tell,14
institute,14
nit,13
iits,13
wow,13
kharagpur,13
clear,13
world,13
next,13
fee,12
worth,12
welcome,12
diploma,12
iisc,12
government,12
caste,11
chennai,11
try,11
anna,11
foundation,11
etc,11
gate,11
information,10
rank,10
life,10
chala,10
soon,10
phd,10
super,10
tier,10
degrees,10
keep,10
indian,9
andi,9
happy,9
anga,9
future,9
toh,9
hope,9
easy,9
tech,9
place,9
true,9
studying,9
sahi,9
let,8
crack,8
certificate,8
nala,8
program,8
interview,8
useful,8
koi,8
lakh,8
fan,8
enter,8
aiims,8
pass,8
hyderabad,8
