Word,Frequency
iit,672
madras,182
degree,142
nit,83
bombay,80
engineering,77
pls,74
best,68
year,61
jee,60
dance,58
kanpur,54
btech,53
delhi,52
dream,52
india,48
science,47
institute,43
iitm,43
nhi,42
chennai,42
iisc,42
anna,41
online,38
technology,35
don,35
yes,34
package,34
kharagpur,33
join,32
liye,31
lpa,31
medical,30
guwahati,30
data,29
years,29
even,29
bsc,28
trichy,28
study,26
time,26
people,26
mein,25
ponga,24
vit,24
tech,24
iits,24
podunga,24
pune,24
top,23
government,23
next,23
hobby,23
beautiful,23
iiit,22
tell,22
lakh,22
level,22
world,22
thnks,22
vanga,21
well,21
work,21
koi,21
research,21
school,20
job,20
bangalore,20
help,20
bhopal,20
life,20
fee,20
pass,19
rank,19
hard,19
clg,19
love,19
roorkee,19
coimbatore,19
information,19
aim,18
mtech,18
tamil,18
free,18
soon,18
gate,18
oru,17
hyderabad,17
fees,17
clear,17
name,17
new,17
better,17
collage,17
srm,17
raha,16
anga,16
advanced,16
aiims,16
mca,16
