Word,Frequency
india,1398
kiit,845
indian,770
shame,665
people,630
country,593
nepal,579
nepali,487
bjp,404
odisha,335
don,325
sorry,321
indians,301
even,264
now,261
government,259
case,259
nepalese,247
ashamed,231
hate,205
justice,200
action,198
bad,195
shameful,189
suicide,186
incident,183
sad,180
log,164
girl,164
nhi,150
state,148
feel,147
issue,146
desh,144
time,136
happened,135
racism,132
koi,132
toh,131
media,131
safe,124
day,124
govt,123
news,123
voice,122
wrong,121
countries,118
kuch,118
political,116
say,113
chahiye,113
world,108
modi,108
worst,108
raha,107
things,107
racist,106
life,105
ban,101
administration,101
way,100
problem,99
matter,98
mein,98
crime,98
system,96
nation,96
police,96
ladki,94
right,94
power,91
years,91
name,90
murder,90
relationship,89
guy,89
protest,88
poor,88
bangladesh,88
brothers,86
hota,86
called,86
thing,85
hua,85
kiya,82
whole,81
stop,81
support,80
happen,79
parents,79
liye,78
gaya,78
boy,77
main,76
rape,76
towards,75
sisters,73
women,73
baat,72
making,72
