Word,Frequency
nepal,1637
justice,1129
india,1108
voice,983
love,922
nepali,857
raising,834
indian,692
people,679
kiit,525
support,500
respect,448
country,402
don,322
nepalese,311
bjp,281
odisha,234
prakriti,229
issue,225
government,214
case,212
now,210
girl,209
indians,195
lot,188
bangladesh,180
truth,178
deshbhakt,174
hope,173
free,168
time,161
lots,159
incident,151
even,150
desh,149
well,148
supporting,146
action,145
sister,144
true,140
news,138
media,127
china,122
liye,119
matter,118
party,117
toh,115
right,115
baat,114
say,113
stand,111
modi,109
better,109
shame,109
brothers,106
sahi,106
nhi,105
sisters,104
sorry,103
best,103
making,103
log,103
political,102
kuch,102
things,101
koi,99
lamsal,99
big,98
akash,98
huge,98
govt,96
keep,95
countries,95
main,93
state,91
safe,90
god,89
yes,88
happened,85
salute,85
raise,83
way,83
kind,83
real,82
study,80
help,80
rahe,80
thing,79
day,79
appreciate,78
power,78
proud,77
pakistan,76
speaking,75
girls,74
anything,74
life,74
covering,74
back,73
feel,72
