Word,Frequency
india,3103
nepal,2605
kiit,1774
indian,1747
nepali,1564
people,1419
justice,1361
voice,1175
country,1120
bjp,1089
love,960
raising,933
shame,796
odisha,742
don,722
nepalese,624
indians,584
support,582
government,570
desh,568
now,562
case,557
respect,505
nhi,491
even,450
sorry,443
log,434
issue,402
action,401
kuch,400
girl,395
toh,388
modi,371
koi,367
incident,362
time,360
raha,340
media,332
bangladesh,326
news,316
liye,304
chahiye,303
prakriti,302
say,297
mein,294
ashamed,294
state,291
right,291
deshbhakt,278
baat,274
govt,269
hota,262
main,261
political,253
bad,249
hate,248
में,247
sad,247
happened,245
lot,244
feel,240
shameful,240
day,239
free,237
matter,233
hope,232
countries,231
kiya,227
things,226
china,225
hindu,223
hua,223
well,222
rahe,222
truth,221
sath,220
safe,218
power,214
world,213
sister,211
system,210
suicide,209
brothers,207
way,207
stand,206
ladki,205
life,197
sisters,192
par,191
making,191
wrong,190
study,190
pakistan,187
apne,185
नहीं,185
lots,183
big,183
name,183
thing,182
gaya,181
