Word,Frequency
lpu,44
block,24
mein,12
kiya,10
nhi,9
don,8
test,8
last,8
liye,8
bekar,7
khana,7
tough,7
drop,7
time,6
worst,6
fee,6
fees,6
kuch,6
pay,6
study,6
scholarship,5
apne,5
haii,5
hoti,5
without,5
njn,5
par,5
apply,5
bba,5
option,5
doubt,5
pass,5
lakh,5
koi,5
clg,5
lpunest,5
iit,5
central,5
lot,5
rahe,5
mujhe,5
diya,4
different,4
sorry,4
cse,4
rha,4
krna,4
maine,4
enik,4
orr,4
lag,4
alcohol,4
krdiya,4
pareshan,4
join,4
krte,4
mock,4
uska,4
actually,4
prajwalkambojvlogs,4
kis,4
money,4
liya,4
raat,3
girls,3
boys,3
pdta,3
life,3
cut,3
leave,3
yaha,3
ques,3
selvarajks,3
tell,3
bhr,3
day,3
mil,3
fields,3
bhaii,3
logo,3
krke,3
case,3
rhi,3
paper,3
package,3
problem,3
choose,3
hota,3
payment,3
andi,3
form,3
cancel,3
charges,3
main,3
milta,3
wifi,3
hidden,3
took,3
punjab,3
month,3
