Word,Frequency
lpu,163
yes,67
pls,54
cse,48
join,45
best,37
tell,33
fees,32
btech,30
liye,30
kaisa,25
toh,25
sahi,25
better,24
help,24
reply,23
scholarship,23
jee,22
mba,20
information,20
year,20
matlab,19
bsc,19
fee,17
mujhe,17
chahiye,16
nhi,16
content,16
akka,16
acha,15
number,15
free,15
food,14
worth,14
hota,14
form,13
btw,13
india,13
private,13
milta,13
check,13
top,12
marks,12
contact,12
chandigarh,12
rahega,12
reality,12
safe,12
welcome,11
amazing,11
dijiye,11
lovely,11
mein,10
opportunities,10
well,10
research,10
average,10
specially,10
series,10
comedk,10
hidden,10
charges,10
mains,10
online,10
safety,10
mca,9
don,9
lpunest,9
block,9
honours,9
bhaii,9
suggest,9
gunda,9
gardi,9
chapri,9
padhai,9
giri,9
bana,9
sharda,9
package,9
professional,9
punjab,9
support,9
available,9
mil,9
per,9
sure,9
clear,9
honest,8
agar,8
even,8
percentile,8
life,8
cuet,8
session,8
entrance,8
engineering,8
counselling,8
lena,8
hisab,8
