Word,Frequency
lpu,434
cse,109
btech,96
nhi,71
fees,71
liye,70
yes,69
scholarship,62
lpunest,59
fee,58
jee,57
pls,57
kaisa,51
join,50
toh,49
bsc,44
tell,40
chahiye,39
year,39
contact,38
mba,38
best,37
mujhe,36
mein,35
akka,34
hota,33
reply,33
block,33
marks,32
bhaii,32
information,31
apply,31
koi,30
liya,30
food,30
thankyou,28
kuch,28
sahi,27
rha,27
check,27
better,27
package,27
form,26
mil,26
iit,26
per,26
online,25
don,25
main,24
lena,24
cuet,24
time,24
help,24
study,24
bba,23
entrance,23
matlab,23
lakh,23
private,22
average,22
room,22
milta,22
chandigarh,22
mains,22
test,21
mca,21
clg,21
par,20
website,20
स्कॉलरशिप,20
raha,20
apne,20
punjab,20
india,19
instagram,19
percentile,19
kiya,19
avide,18
option,18
acha,18
worth,18
tech,18
haii,18
pass,18
manipal,18
abhi,17
kitna,17
njn,17
engineering,17
informative,17
comedk,17
last,17
bca,17
available,17
content,16
yaha,16
without,16
theprajwalkamboj,16
bare,16
rahe,16
