Word,Frequency
india,1477
kiit,857
indian,815
people,742
shame,689
don,636
country,609
nepal,582
nhi,528
nepali,487
sorry,419
bjp,408
bad,397
even,375
now,353
iit,340
odisha,339
year,337
time,324
indians,322
toh,321
koi,314
worst,312
problem,296
nit,289
government,289
case,284
fees,255
liye,252
mein,251
kuch,250
nepalese,247
log,233
life,233
ashamed,231
hate,230
hota,227
cse,224
food,223
raha,217
action,213
sad,212
suicide,201
justice,200
main,198
state,192
shameful,190
incident,189
fee,189
ban,186
jee,186
girl,185
wrong,185
mujhe,183
feel,178
day,177
rha,174
issue,169
chahiye,166
years,165
say,164
kiya,164
lag,164
fake,159
money,155
poor,152
mil,151
desh,151
drop,150
govt,148
management,148
pay,145
happened,145
low,144
study,144
bekar,143
things,141
par,141
btech,141
news,140
hua,140
cut,140
block,139
media,138
hard,138
last,138
racism,137
way,136
safe,136
right,135
world,134
girls,133
agar,132
iiit,131
voice,131
vit,131
doubt,130
per,129
diya,126
political,125
