Word,Frequency
iit,2974
nit,2544
nhi,1788
cse,1629
liye,1264
year,1219
mil,1000
rank,890
iiit,863
mein,823
toh,795
india,781
jee,707
mujhe,704
hota,681
koi,663
btech,643
kuch,637
fees,633
kaisa,621
rha,620
ece,563
main,553
delhi,551
raha,547
chahiye,546
bhopal,530
category,500
soon,498
engineering,489
vit,488
kiit,486
percentile,432
bombay,425
liya,415
bjp,408
next,407
nepal,395
jayega,393
abhi,391
bsc,390
trichy,384
lena,384
log,380
kitna,377
room,377
par,376
indian,373
science,365
mba,359
jaipur,356
fee,353
patna,352
hua,345
bhu,341
में,340
milega,323
yaha,322
mains,319
obc,317
baat,312
lpu,312
time,311
per,310
marks,305
kiya,304
desh,302
lakh,300
now,296
mca,295
bca,294
milta,293
mila,291
kaha,289
rhe,285
don,282
new,280
girls,280
kon,280
hoti,277
sakte,274
state,273
gya,269
allahabad,269
mtech,268
diya,266
mechanical,265
package,261
technology,261
agar,257
lnct,254
sakta,254
tell,253
rahe,249
clg,248
tech,245
dekh,243
institute,239
kitne,238
lpa,235
