Word,Frequency
iit,5087
nit,4586
india,3645
cse,3340
nhi,3331
nepal,2624
year,2527
liye,2505
indian,1985
kiit,1902
best,1894
iiit,1883
people,1837
toh,1797
mil,1786
don,1758
mein,1657
jee,1644
rank,1607
nepali,1568
koi,1528
yes,1503
mujhe,1465
love,1455
justice,1367
better,1361
fees,1334
hota,1333
kuch,1328
reply,1315
btech,1299
pls,1252
tell,1238
voice,1228
ece,1208
time,1194
country,1194
main,1173
now,1161
vit,1158
rha,1108
bhopal,1103
bjp,1100
raha,1094
engineering,1013
chahiye,1010
delhi,966
even,943
raising,936
category,900
life,897
join,891
kaisa,863
help,860
log,860
fee,858
shame,821
government,817
par,812
support,811
odisha,799
science,794
bsc,772
state,758
next,757
mba,757
soon,755
lena,750
percentile,729
abhi,728
room,724
agar,717
study,715
liya,706
jayega,702
kiya,698
per,692
baat,688
hua,683
bombay,676
clg,674
girls,659
bhu,657
case,649
last,642
kitna,641
check,637
sorry,636
food,635
indians,634
marks,632
dream,632
nepalese,624
jaipur,623
years,622
new,619
desh,614
package,607
yaha,604
well,604
