Word,Frequency
best,1838
iit,1773
nit,1753
nepal,1647
cse,1487
yes,1421
love,1408
india,1387
better,1241
justice,1135
pls,1127
reply,1040
nhi,1015
voice,1013
liye,989
year,971
people,917
iiit,889
tell,862
nepali,857
don,840
raising,837
help,798
indian,797
join,757
jee,751
support,694
toh,681
mil,635
rank,615
mein,583
mujhe,578
dream,574
ece,561
kiit,559
time,559
koi,551
vit,539
top,532
btech,515
now,512
sahi,505
life,495
well,491
respect,490
free,482
engineering,460
worth,456
bhopal,451
fees,446
sure,445
hope,441
kuch,441
country,440
even,439
acha,434
hota,425
main,422
lot,421
study,399
science,377
keep,370
true,364
check,359
chance,353
mba,343
delhi,340
government,336
category,333
work,332
raha,330
agar,328
bsc,328
clg,318
fee,316
rha,314
nepalese,311
number,308
information,307
accha,299
years,298
chahiye,298
par,295
okay,295
state,293
next,291
lena,289
try,286
say,286
bjp,284
yeah,282
issue,282
beautiful,281
bhu,280
last,278
girl,277
option,274
institute,272
package,268
choose,262
