video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
8apomWfXUkc,Ashoka University,faculty_research,faculty,Ashoka University faculty,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls,A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its ...,MIRROR NOW,2023-08-02T08:40:23Z,2023,2785,14,11,PT2M49S,unknown,https://www.youtube.com/watch?v=8apomWfXUkc,34,Relevant,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls,A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its .,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its .,13,99,23,130,36,230,0,0,0,0,0,0.008977,7.932362154339751,2.70805020110221,2.4849066497880004,1065
PqLtWT_BxL0,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir,"In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of ...",Apni University NET JRF,2025-05-12T05:53:33Z,2025,16064,0,51,PT33M58S,unknown,https://www.youtube.com/watch?v=PqLtWT_BxL0,32,Relevant,UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir,"In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of .","UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of .",18,95,21,130,39,226,0,0,0,0,0,0.003175,9.68439827154996,0.0,3.9512437185814275,416
iCwZ2e_QAbU,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir,"Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is ...",Apni University NET JRF,2024-12-18T05:43:31Z,2024,12868,0,107,PT35M36S,unknown,https://www.youtube.com/watch?v=iCwZ2e_QAbU,32,Relevant,Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir,"Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is .","Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is .",19,100,21,129,40,230,0,0,0,0,0,0.008315,9.462576597493666,0.0,4.68213122712422,561
wU7NgRzFdTw,Lovely Professional University,faculty_research,faculty,Lovely Professional University faculty,LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission  2026-27?,"Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE ...",Sid Academy,2026-05-26T05:24:40Z,2026,10380,163,26,PT1H15M43S,unknown,https://www.youtube.com/watch?v=wU7NgRzFdTw,31,Relevant,LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission 2026-27?,"Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE .","LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission 2026-27? Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE .",16,99,21,121,37,221,0,0,0,0,1,0.018208,9.247732491193245,5.099866427824199,3.295836866004329,37
lAqMyXdSVFQ,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor &amp; Research Scholar at the SSBS |,Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar ...,Sharda University Agra,2025-08-01T04:16:32Z,2025,2326,33,1,PT2M9S,unknown,https://www.youtube.com/watch?v=lAqMyXdSVFQ,31,Relevant,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor & Research Scholar at the SSBS |,Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar .,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor & Research Scholar at the SSBS | Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar .,17,100,20,129,37,230,0,0,0,1,0,0.014617,7.752335163302292,3.5263605246161616,0.6931471805599453,335
wzMOjqEfc4c,Netaji Subhas University of Technology,faculty_research,faculty,Netaji Subhas University of Technology faculty,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study ...,Toppersexam_jobs,2025-10-16T10:18:24Z,2025,240,1,0,PT16S,unknown,https://www.youtube.com/watch?v=wzMOjqEfc4c,30,Relevant,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study .,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study .,13,97,18,123,31,221,0,3,0,0,0,0.004167,5.484796933490655,0.6931471805599453,0.0,259
PPYdJpYthCc,Pondicherry University,faculty_research,plagiarism,Pondicherry University plagiarism,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs|,I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.,PhD Jobs and Admission,2023-08-11T06:30:06Z,2023,520,19,0,PT25M46S,unknown,https://www.youtube.com/watch?v=PPYdJpYthCc,30,Relevant,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs|,I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs| I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.,11,91,17,119,28,211,0,0,0,0,0,0.036538,6.255750041753367,2.995732273553991,0.0,1056
JxtJjj6GhkI,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University | Meet Professor NB Singh,"Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution ...",Sharda University,2023-10-31T06:41:43Z,2023,384,9,0,PT2M39S,unknown,https://www.youtube.com/watch?v=JxtJjj6GhkI,30,Relevant,Sharda University | Meet Professor NB Singh,"Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution .","Sharda University | Meet Professor NB Singh Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution .",7,43,20,128,27,172,0,0,0,0,0,0.023438,5.953243334287785,2.302585092994046,0.0,975
euUZsCOD5kc,Central University of Jharkhand,faculty_research,faculty,Central University of Jharkhand faculty,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official ...,Vacancy Portal,2023-01-19T15:43:48Z,2023,48,6,0,PT6M22S,unknown,https://www.youtube.com/watch?v=euUZsCOD5kc,30,Relevant,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official .,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official .,9,99,12,135,21,235,0,0,0,0,0,0.125,3.8918202981106265,1.9459101490553132,0.0,1260
f6IIgDCcmXk,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,Plagiarism &amp; Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir,Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 ...,Apni University NET JRF,2025-11-24T17:31:33Z,2025,2984,200,1,PT47M7S,unknown,https://www.youtube.com/watch?v=f6IIgDCcmXk,29,Relevant,Plagiarism & Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir,Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 .,Plagiarism & Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 .,20,99,22,112,42,212,0,0,0,0,0,0.067359,8.001355025826703,5.303304908059076,0.6931471805599453,220
