video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label
vj26zr6ERBQ,Patna University,controversies,scam,Patna University scam,पटना यूनिवर्सिटी में नीतीश कुमार और शिक्षा मंत्री के खिलाफ ‘गो बैक’ के लगे नारे,पटना यूनिवर्सिटी में नीतीश कुमार और शिक्षा मंत्री के खिलाफ 'गो बैक' ...,First Bihar Jharkhand,2026-03-30T16:14:10Z,2026,4886,51,0,PT58S,unknown,https://www.youtube.com/watch?v=vj26zr6ERBQ,0,Removed
K2S7FWyfQUg,Tripura University,controversies,scam,Tripura University scam,What Is Trending 🤔😂 College Students Most Crazy videography... Tripura Pharmacy College #song #funny,Movie: Yaarana Music: Rajesh Roshan Lyrics: Anjaan Singer: Kishore Kumar Label: Universal Music new college trending video ...,Tech Tripura Vlog,2023-10-20T01:55:00Z,2023,3218,55,6,PT14S,unknown,https://www.youtube.com/watch?v=K2S7FWyfQUg,0,Removed
mREaEI1QDys,University of Madras,controversies,scam,University of Madras scam,உதவிப்பேராசிரியர் தேர்வில் முறைகேடு? கோச்சிங் செண்டர்களுடன் Tie-Up? தேர்வை ரத்து செய்யுமா தவெக அரசு?,assistantprofessor #tamilnaduexam #examscam #assistantprofessor #tamilnaduexam #examscam #questionpaperleak ...,NewsTamil 24X7,2026-06-28T15:54:56Z,2026,14023,139,174,PT7M21S,unknown,https://www.youtube.com/watch?v=mREaEI1QDys,0,Removed
mIpq5Souxu8,Banaras Hindu University,controversies,scam,Banaras Hindu University scam,BHU CHS 11th Arts Entrance Paper Review 🔥| Student Honest Reaction on CHS Entrance Exam Preparation,,"School Siksha - CHS, JNV, Sainik Exam Preparation",2025-05-07T11:03:00Z,2025,11237,217,7,PT26S,unknown,https://www.youtube.com/watch?v=mIpq5Souxu8,0,Removed
2BgzJd9dCjY,Anna University,controversies,scam,Anna University scam,அண்ணா பல்கலை. மாணவி பேராசிரியர் மீது பாலியல் புகார்... வெளியான அதிர்ச்சி ஆடியோக்கள் ...,அண்ணா பல்கலை. மாணவி பேராசிரியர் மீது பாலியல் புகார் வெளியான ...,Polimer News,2026-03-28T05:10:21Z,2026,111145,521,0,PT7M17S,unknown,https://www.youtube.com/watch?v=2BgzJd9dCjY,0,Removed
gAKXRng3K3k,Dibrugarh University,controversies,scam,Dibrugarh University scam,ডিব্ৰুগড় বিশ্ববিদ্যালয় শিক্ষাৰ্থী সমাজৰ সহযোগত অনশন কাৰ্যসূচী।,ডিব্ৰুগড় বিশ্ববিদ্যালয় শিক্ষাৰ্থী সমাজৰ সহযোগত অনশন কাৰ্যসূচী ...,Pratidin Time,2026-03-11T07:55:01Z,2026,2257,64,2,PT2M24S,unknown,https://www.youtube.com/watch?v=gAKXRng3K3k,0,Removed
uWM2kFTomzk,Mysore University,controversies,scam,Mysore University scam,കര്‍ണാടകയിലെ നഴ്‌സിംഗ് പഠനം; മലയാളി വിദ്യാര്‍ത്ഥികൾ തട്ടിപ്പിന് ഇരയാകുന്നു;തട്ടിയെടുക്കുന്നത് കോടികൾ,തട്ടിപ്പ് തുടർക്കഥ | കര്‍ണാടകയിലെ നഴ്‌സിംഗ് പഠനം ; മലയാളി ...,24 News,2023-06-29T04:44:29Z,2023,99573,989,450,PT3M3S,unknown,https://www.youtube.com/watch?v=uWM2kFTomzk,0,Removed
FXhLXXgtJ-Y,Dibrugarh University,controversies,scam,Dibrugarh University scam,Aap ko Kya Laga Hoga ? ￼|| Prank Video || #Short #Shorts #Reaction #prank #shortsfeed,"Aap ko Kya Laga Hoga ? || Prank Video || #Short #Shorts #Reaction #prank #shortsfeed Prank Video, Short, Shorts, Reaction, ...",Jaipur Ka Prankster,2025-10-28T15:30:12Z,2025,19129678,258374,430,PT20S,unknown,https://www.youtube.com/watch?v=FXhLXXgtJ-Y,0,Removed
b3gQyXL3kfk,Dibrugarh University,controversies,scam,Dibrugarh University scam,অসম আন্দোলনৰ ৮৬০ গৰাকী শ্বহীদক চূড়ান্ত অপমান শিক্ষামন্ত্ৰী ডাঃ ৰণোজ পেগুৰ,অসম আন্দোলনৰ ৮৬০ গৰাকী শ্বহীদক চূড়ান্ত অপমান শিক্ষামন্ত্ৰী ডাঃ ...,Pratidin Time,2026-03-11T14:34:52Z,2026,51544,1632,319,PT8M2S,unknown,https://www.youtube.com/watch?v=b3gQyXL3kfk,0,Removed
SaeKCkd_HwE,Dibrugarh University,controversies,scam,Dibrugarh University scam,ডিব্ৰুগড় বিশ্ববিদ্যালয়ৰ ঘটনা সন্দৰ্ভত কি ক&#39;লে মুখ্যমন্ত্ৰী হিমন্ত বিশ্ব শৰ্মাই ?,ডিব্ৰুগড় বিশ্ববিদ্যালয়ৰ ঘটনা সন্দৰ্ভত কি ক'লে মুখ্যমন্ত্ৰী ...,PRATHAM KHABAR 24x7,2026-03-12T08:39:55Z,2026,172,1,0,PT2M29S,unknown,https://www.youtube.com/watch?v=SaeKCkd_HwE,0,Removed
