video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text
8apomWfXUkc,Ashoka University,faculty_research,faculty,Ashoka University faculty,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls,A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its ...,MIRROR NOW,2023-08-02T08:40:23Z,2023,2785,14,11,PT2M49S,unknown,https://www.youtube.com/watch?v=8apomWfXUkc,34,Relevant,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls,A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its .,Ashoka University Releases Statement over Controversial Research Paper |BJP Vs Congress |2019 Polls A research paper by a faculty member of a prestigious private university sparked a row. Ashoka University took a U-turn over its .
PqLtWT_BxL0,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir,"In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of ...",Apni University NET JRF,2025-05-12T05:53:33Z,2025,16064,0,51,PT33M58S,unknown,https://www.youtube.com/watch?v=PqLtWT_BxL0,32,Relevant,UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir,"In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of .","UGC NET Paper 1 Higher Education | Research Ethics | Plagiarism | Apni University | By Shiv Sir In today's session, we will explore the crucial concepts of Research Ethics and Plagiarism under the Higher Education section of ."
iCwZ2e_QAbU,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir,"Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is ...",Apni University NET JRF,2024-12-18T05:43:31Z,2024,12868,0,107,PT35M36S,unknown,https://www.youtube.com/watch?v=iCwZ2e_QAbU,32,Relevant,Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir,"Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is .","Level of Plagiarism | Research Ethics | Research Aptitude | NET -JRF | Apni University | By Shiv Sir Understanding Plagiarism Levels in Research Ethics In this session, we will explore the various levels of plagiarism, why it is ."
wU7NgRzFdTw,Lovely Professional University,faculty_research,faculty,Lovely Professional University faculty,LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission  2026-27?,"Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE ...",Sid Academy,2026-05-26T05:24:40Z,2026,10380,163,26,PT1H15M43S,unknown,https://www.youtube.com/watch?v=wU7NgRzFdTw,31,Relevant,LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission 2026-27?,"Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE .","LPU - Lovely Professional University Campus Tour | B.Tech Review | Hostel Tour | Admission 2026-27? Hello everybody in this video we have covered LPU, Punjab Campus & shown all the facilities with Admission Process, FEE ."
lAqMyXdSVFQ,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor &amp; Research Scholar at the SSBS |,Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar ...,Sharda University Agra,2025-08-01T04:16:32Z,2025,2326,33,1,PT2M9S,unknown,https://www.youtube.com/watch?v=lAqMyXdSVFQ,31,Relevant,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor & Research Scholar at the SSBS |,Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar .,Sharda University Agra | Prof. Ibrahim Shuaib | Assistant Professor & Research Scholar at the SSBS | Unlocking the Future of Marketing with Prof. Ibrahim Shuaib! Meet Prof. Ibrahim Shuaib — Assistant Professor & Research Scholar .
wzMOjqEfc4c,Netaji Subhas University of Technology,faculty_research,faculty,Netaji Subhas University of Technology faculty,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study ...,Toppersexam_jobs,2025-10-16T10:18:24Z,2025,240,1,0,PT16S,unknown,https://www.youtube.com/watch?v=wzMOjqEfc4c,30,Relevant,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study .,netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral netaji subhas university of technology | nsut faculty assistant professor recruitment 2025 #viral #yt Your one-stop study .
PPYdJpYthCc,Pondicherry University,faculty_research,plagiarism,Pondicherry University plagiarism,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs|,I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.,PhD Jobs and Admission,2023-08-11T06:30:06Z,2023,520,19,0,PT25M46S,unknown,https://www.youtube.com/watch?v=PPYdJpYthCc,30,Relevant,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs|,I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.,Pondicherry University PhD Entrance Test 2023 MCQs|Plagiarism In Research Methodology MCQs| I have discussed plagiarism in research methodology by using MCQs. Pondicherry University PhD Notification 2023 is out.
JxtJjj6GhkI,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University | Meet Professor NB Singh,"Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution ...",Sharda University,2023-10-31T06:41:43Z,2023,384,9,0,PT2M39S,unknown,https://www.youtube.com/watch?v=JxtJjj6GhkI,30,Relevant,Sharda University | Meet Professor NB Singh,"Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution .","Sharda University | Meet Professor NB Singh Meet Professor NB Singh, a distinguished faculty member at Sharda University, who embarked on his journey with the institution ."
euUZsCOD5kc,Central University of Jharkhand,faculty_research,faculty,Central University of Jharkhand faculty,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official ...,Vacancy Portal,2023-01-19T15:43:48Z,2023,48,6,0,PT6M22S,unknown,https://www.youtube.com/watch?v=euUZsCOD5kc,30,Relevant,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official .,Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor Central University of Jharkhand|| Recruitment For Faculty positions ||Assistant/Associate/Professor ------------------------ Official .
f6IIgDCcmXk,University of Rajasthan,faculty_research,plagiarism,University of Rajasthan plagiarism,Plagiarism &amp; Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir,Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 ...,Apni University NET JRF,2025-11-24T17:31:33Z,2025,2984,200,1,PT47M7S,unknown,https://www.youtube.com/watch?v=f6IIgDCcmXk,29,Relevant,Plagiarism & Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir,Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 .,Plagiarism & Research Ethics | UGC NET Paper 1 | UGC NET JRF Paper 1 Research Aptitude By Sunil Sir Plagiarism & Research Ethics | UGC NET Paper 1 Research Aptitude | Complete Class by Sunil Sir UGC NET Paper 1 .
