Column,Datatype
video_id,object
university_name,object
title,object
description,object
channel_name,object
upload_date,object
upload_year,int64
views,int64
likes,int64
comment_count,int64
duration,object
language,object
video_url,object
relevance_score,int64
relevance_label,object
clean_title,object
clean_description,object
combined_text,object
title_word_count,int64
title_char_count,int64
description_word_count,int64
description_char_count,int64
combined_word_count,int64
combined_char_count,int64
emoji_count,int64
hashtag_count,int64
mention_count,int64
exclamation_count,int64
question_count,int64
engagement_rate,float64
log_views,float64
log_likes,float64
log_comments,float64
video_age_days,int64
