video_id,university_name,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
Qkkc-ot3ch4,Sharda University,"Sharda University Campus Tour 2026 | Facilities, Student Life &amp; Achievements | Study in India","Explore the world-class campus of Sharda University, one of India's leading private universities, known for its global exposure and ...",Uniportal India,2026-03-19T10:45:01Z,2026,18,12,0,PT1M10S,unknown,https://www.youtube.com/watch?v=Qkkc-ot3ch4,30,Relevant,"Sharda University Campus Tour 2026 | Facilities, Student Life & Achievements | Study in India","Explore the world-class campus of Sharda University, one of India's leading private universities, known for its global exposure and .","Sharda University Campus Tour 2026 | Facilities, Student Life & Achievements | Study in India Explore the world-class campus of Sharda University, one of India's leading private universities, known for its global exposure and .",15,93,20,133,35,227,0,0,0,0,0,0.666667,2.9444389791664403,2.5649493574615367,0.0,105
fKDE_wBzNYg,IIT Bombay,IIT Bombay campus tour  Hostels  Sports Facilities  Places  Infrastructure  Mumbai  Powai,iitbombay #iitjee #motivation #shortvideo #subscribe #like #share., On TOP ,2023-04-26T10:51:07Z,2023,11,4,2,PT1M48S,unknown,https://www.youtube.com/watch?v=fKDE_wBzNYg,35,Relevant,IIT Bombay campus tour Hostels Sports Facilities Places Infrastructure Mumbai Powai,iitbombay #iitjee #motivation #shortvideo #subscribe #like #share.,IIT Bombay campus tour Hostels Sports Facilities Places Infrastructure Mumbai Powai iitbombay #iitjee #motivation #shortvideo #subscribe #like #share.,11,83,7,66,18,150,0,6,0,0,0,0.545455,2.4849066497880004,1.6094379124341005,1.0986122886681098,1163
gmUpjCk6A4M,IIT Kharagpur,IIT kharagpur campus tour ❤️🔥🔥#shorts #iitkharagpur #youtbeshorts,IIT kharagpur campus tour life 3 Unread Messages 2. From Books to Brilliance: How IIT Kharagpur Turns Dreams into Reality ...,IIT Education Learner,2023-08-24T12:09:04Z,2023,18,5,0,PT26S,unknown,https://www.youtube.com/watch?v=gmUpjCk6A4M,28,Relevant,IIT kharagpur campus tour ❤️🔥🔥#shorts #iitkharagpur #youtbeshorts,IIT kharagpur campus tour life 3 Unread Messages 2. From Books to Brilliance: How IIT Kharagpur Turns Dreams into Reality .,IIT kharagpur campus tour ❤️🔥🔥#shorts #iitkharagpur #youtbeshorts IIT kharagpur campus tour life 3 Unread Messages 2. From Books to Brilliance: How IIT Kharagpur Turns Dreams into Reality .,7,65,21,123,28,189,2,3,0,0,0,0.277778,2.9444389791664403,1.791759469228055,0.0,1043
e9X7-ywvQYU,Jawaharlal Nehru University,24th JNU Alumni Meet &amp; Dinner l Sat 18th April 2026 l  On JNU Campus,"The 24th JNU Alumni Meet & Dinner took place on April 18, 2026, at Jawaharlal Nehru University campus, drawing alumni from ...",Ganga Dhaba,2026-04-19T18:01:15Z,2026,4,1,0,PT21S,unknown,https://www.youtube.com/watch?v=e9X7-ywvQYU,15,Relevant,24th JNU Alumni Meet & Dinner l Sat 18th April 2026 l On JNU Campus,"The 24th JNU Alumni Meet & Dinner took place on April 18, 2026, at Jawaharlal Nehru University campus, drawing alumni from .","24th JNU Alumni Meet & Dinner l Sat 18th April 2026 l On JNU Campus The 24th JNU Alumni Meet & Dinner took place on April 18, 2026, at Jawaharlal Nehru University campus, drawing alumni from .",15,67,22,124,37,192,0,0,0,0,0,0.25,1.6094379124341005,0.6931471805599453,0.0,74
wjl_B23AVHY,Lovely Professional University,You Won’t Believe LPU’s Massive Infrastructure! | LPU Campus Tour | Innovation Projects | JEE,"Explore Lovely Professional University (LPU) — one of India's top private universities known for its world-class infrastructure, ...",Eshwar Anugandula,2023-03-01T05:23:43Z,2023,506,72,36,PT7M51S,unknown,https://www.youtube.com/watch?v=wjl_B23AVHY,31,Relevant,You Won’t Believe LPU’s Massive Infrastructure! | LPU Campus Tour | Innovation Projects | JEE,"Explore Lovely Professional University (LPU) — one of India's top private universities known for its world-class infrastructure, .","You Won’t Believe LPU’s Massive Infrastructure! | LPU Campus Tour | Innovation Projects | JEE Explore Lovely Professional University (LPU) — one of India's top private universities known for its world-class infrastructure, .",15,93,18,130,33,224,0,0,0,1,0,0.213439,6.2285110035911835,4.290459441148391,3.610917912644224,1219
AkgY40WU3dk,Lovely Professional University,Lovely Professional University LPU -A world in itself,LPU's infrastructure is one of the biggest & best in the World.,Diamond rocks,2024-06-27T11:47:04Z,2024,19,2,2,PT2M59S,unknown,https://www.youtube.com/watch?v=AkgY40WU3dk,13,Relevant,Lovely Professional University LPU -A world in itself,LPU's infrastructure is one of the biggest & best in the World.,Lovely Professional University LPU -A world in itself LPU's infrastructure is one of the biggest & best in the World.,8,53,12,63,20,117,0,0,0,0,0,0.210526,2.995732273553991,1.0986122886681098,1.0986122886681098,735
6_0Apq-Vtso,IIT Guwahati,IIT Guwahati Campus Life #iitguwahati #nature #jee,shorts IIT Guwahati Campus Clips Ft. Noob IITian Subscribe for more.,Noob IITian,2023-08-27T14:56:05Z,2023,53,9,2,PT21S,unknown,https://www.youtube.com/watch?v=6_0Apq-Vtso,20,Relevant,IIT Guwahati Campus Life #iitguwahati #nature #jee,shorts IIT Guwahati Campus Clips Ft. Noob IITian Subscribe for more.,IIT Guwahati Campus Life #iitguwahati #nature #jee shorts IIT Guwahati Campus Clips Ft. Noob IITian Subscribe for more.,7,50,11,68,18,119,0,3,0,0,0,0.207547,3.9889840465642745,2.302585092994046,1.0986122886681098,1040
jqCIT9oYPok,NIT Silchar,"NIT Silchar MBA Review 2026 — Fees, Placements, Campus Life | Sach Bolunga Main 🎓",Is NIT Silchar MBA worth it in 2026? Is this the right MBA college for you — ya phir paisa aur do saal barbaad ho jayenge?,Swasata Ghosh,2026-05-26T07:58:35Z,2026,78,14,2,PT9M,unknown,https://www.youtube.com/watch?v=jqCIT9oYPok,16,Relevant,"NIT Silchar MBA Review 2026 — Fees, Placements, Campus Life | Sach Bolunga Main 🎓",Is NIT Silchar MBA worth it in 2026? Is this the right MBA college for you — ya phir paisa aur do saal barbaad ho jayenge?,"NIT Silchar MBA Review 2026 — Fees, Placements, Campus Life | Sach Bolunga Main 🎓 Is NIT Silchar MBA worth it in 2026? Is this the right MBA college for you — ya phir paisa aur do saal barbaad ho jayenge?",15,81,26,122,41,204,1,0,0,0,2,0.205128,4.3694478524670215,2.70805020110221,1.0986122886681098,37
JYV8uWDQQeA,NIT Surathkal,"NIT Surathkal 2025 Review: Campus, Placements, Fees &amp; Life | Honest Student Insights🔥","NIT Surathkal 2025 Full Review | Campus Life, Placements, Fees & More! Thinking about joining NIT Surathkal in 2025?",EduCounselling,2025-03-13T13:21:42Z,2025,132,23,4,PT8M57S,unknown,https://www.youtube.com/watch?v=JYV8uWDQQeA,18,Relevant,"NIT Surathkal 2025 Review: Campus, Placements, Fees & Life | Honest Student Insights🔥","NIT Surathkal 2025 Full Review | Campus Life, Placements, Fees & More! Thinking about joining NIT Surathkal in 2025?","NIT Surathkal 2025 Review: Campus, Placements, Fees & Life | Honest Student Insights🔥 NIT Surathkal 2025 Full Review | Campus Life, Placements, Fees & More! Thinking about joining NIT Surathkal in 2025?",13,85,19,116,32,202,1,0,0,1,1,0.204545,4.890349128221754,3.1780538303479458,1.6094379124341005,476
Tf_UKrkTlKc,IIT Roorkee,IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE....all details... #roorkee 🧿💖,IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE....all details... #roorkee Beautiful ...,Kota mini vlogger,2026-02-22T16:00:13Z,2026,47,2,7,PT3M52S,unknown,https://www.youtube.com/watch?v=Tf_UKrkTlKc,48,Relevant,IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE.all details. #roorkee 🧿💖,IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE.all details. #roorkee Beautiful .,IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE.all details. #roorkee 🧿💖 IIT ROORKEE CAMPUS TOUR || SPORTS; CANTEEN; TEMPLE; INFRASTRUCTURE.all details. #roorkee Beautiful .,12,91,13,100,25,192,1,2,0,0,0,0.191489,3.871201010907891,1.0986122886681098,2.0794415416798357,130
