University,Videos
Lovely Professional University,65
Sharda University,49
SRM Institute of Science and Technology,43
IIT Patna,42
Chandigarh University,41
Ganpat University,40
Bennett University,40
IIT Jodhpur,37
NIT Warangal,36
IIT Indore,36
IIT Gandhinagar,36
NIT Silchar,34
NIT Trichy,34
JECRC University,33
Amity University,32
Galgotias University,32
SAGE University Indore,31
NIT Raipur,30
Jawaharlal Nehru University,30
Poornima University,30
NIT Jaipur,29
IIT Hyderabad,29
IIT Guwahati,28
Manipal University Jaipur,27
IIT Mandi,26
KIIT University,26
BITS Pilani,26
VIT Bhopal University,26
NIT Nagaland,25
IIT Ropar,24
IIIT Lucknow,24
NIT Kurukshetra,24
VIT Vellore,23
NIT Meghalaya,23
LNCT Bhopal,23
NIT Jamshedpur,23
Symbiosis International University,22
IIIT Guwahati,22
NIT Patna,22
Delhi University,21
IIIT Jabalpur,21
NIT Calicut,21
IIIT Kottayam,21
NIT Hamirpur,21
NIT Surathkal,21
IIIT Delhi,21
IIIT Kancheepuram,20
Banasthali Vidyapith,20
IIIT Naya Raipur,20
NIT Arunachal Pradesh,19
IIT Roorkee,19
IIIT Gwalior,19
SAGE University Bhopal,19
IIIT Bhopal,19
PES University,18
IIT Bombay,18
Christ University,18
NIT Durgapur,18
Pondicherry University,17
NIT Allahabad,17
IIT Madras,17
NIT Rourkela,16
NIT Bhopal,16
IIIT Allahabad,16
IIIT Hyderabad,16
IIIT Bangalore,15
IIT Delhi,14
Nirma University,14
University of Hyderabad,13
IIT Bhubaneswar,13
Dhirubhai Ambani Institute of Information and Communication Technology,13
Ashoka University,12
Aligarh Muslim University,12
North Eastern Hill University,11
Banaras Hindu University,11
IIT (BHU) Varanasi,10
University of Allahabad,10
Jamia Millia Islamia,9
RV University,9
IIT Kanpur,8
ITM University Raipur,7
Pandit Deendayal Energy University,7
IIT Kharagpur,7
SASTRA Deemed University,6
Kalinga University Raipur,6
Oriental Institute of Science and Technology Bhopal,6
Thapar Institute of Engineering and Technology,6
O.P. Jindal Global University,6
People's University Bhopal,4
Manipal Academy of Higher Education,3
Mansarovar Global University Bhopal,1
Charotar University of Science and Technology,1
Rabindranath Tagore University Bhopal,1
