video_id,university_name,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
X8j598Tgx9o,IIT Bombay,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Garima Bangar [ IIT Bombay ],2024-01-15T13:07:10Z,2024,13476321,467007,1380,PT34S,unknown,https://www.youtube.com/watch?v=X8j598Tgx9o,15,Relevant,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,15,98,0,0,15,98,0,8,0,0,1,0.034756,16.416444777553778,13.054101667125291,7.2305631534092925,899
2-gg_dv3qjc,Amity University,13000 Campus Placements in 2024 | Amity University Noida,Amity University celebrates a remarkable achievement of 1300 placements in just one year! From top-tier companies to dream ...,AmityUni,2024-12-04T04:00:14Z,2024,10224521,10889,26,PT11S,unknown,https://www.youtube.com/watch?v=2-gg_dv3qjc,12,Relevant,13000 Campus Placements in 2024 | Amity University Noida,Amity University celebrates a remarkable achievement of 1300 placements in just one year! From top-tier companies to dream .,13000 Campus Placements in 2024 | Amity University Noida Amity University celebrates a remarkable achievement of 1300 placements in just one year! From top-tier companies to dream .,9,56,19,124,28,181,0,0,0,1,0,0.001068,16.14029951063415,9.295600215927006,3.295836866004329,575
z9u7-PI7po4,IIT Madras,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, ...",IITian buddy,2025-09-18T19:38:19Z,2025,9440346,191440,602,PT53S,unknown,https://www.youtube.com/watch?v=z9u7-PI7po4,18,Relevant,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .","IIT Madras | Campus Beats | #iitmadras #iit Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .",8,43,22,134,30,178,0,2,0,1,0,0.020343,16.060503295920682,12.162334946137356,6.401917196727186,287
3GBus1X7qeE,Sharda University,The Future of Education: India&#39;s First AI-Generated Campus Tour,Experience the future of education through India's first-ever AI-generated campus tour. Sharda University sets a new benchmark ...,Sharda University,2026-01-01T02:30:03Z,2026,6121053,34,1,PT1M10S,unknown,https://www.youtube.com/watch?v=3GBus1X7qeE,27,Relevant,The Future of Education: India's First AI-Generated Campus Tour,Experience the future of education through India's first-ever AI-generated campus tour. Sharda University sets a new benchmark .,The Future of Education: India's First AI-Generated Campus Tour Experience the future of education through India's first-ever AI-generated campus tour. Sharda University sets a new benchmark .,9,63,18,128,27,192,0,0,0,0,0,6e-06,15.627244861882186,3.5553480614894135,0.6931471805599453,182
Vf68a2wOkPI,Galgotias University,Inside Galgotias University’s Active Learning Ecosystem | G-SCALE Experience,Explore the vibrant world of Galgotias University through our captivating video series. From inspiring student stories and faculty ...,Galgotias University,2025-06-04T11:19:18Z,2025,4849946,497,79,PT39S,unknown,https://www.youtube.com/watch?v=Vf68a2wOkPI,12,Relevant,Inside Galgotias University’s Active Learning Ecosystem | G-SCALE Experience,Explore the vibrant world of Galgotias University through our captivating video series. From inspiring student stories and faculty .,Inside Galgotias University’s Active Learning Ecosystem | G-SCALE Experience Explore the vibrant world of Galgotias University through our captivating video series. From inspiring student stories and faculty .,9,76,19,132,28,209,0,0,0,0,0,0.000119,15.394478335018905,6.210600077024653,4.382026634673881,393
yjgC5P68l6o,IIT Madras,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb",Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement ...,Akash Jaiswal (IITB),2024-12-23T12:05:32Z,2024,4409759,123431,248,PT41S,unknown,https://www.youtube.com/watch?v=yjgC5P68l6o,28,Relevant,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb",Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement .,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement .",14,99,21,130,35,230,1,4,1,0,0,0.028047,15.299330824173405,11.723445676122862,5.517452896464707,556
lmmhGlpKGzA,IIT Patna,"Inside IIT Patna’s 2025 Campus Immersion 💡 Mentorship, Innovation &amp; Epic Moments!",Welcome Aboard the Immersion! Immersion. Inspiration. Impact. Join us as IIT Patna's 2025 Campus Immersion Experience ...,Indian Institute of Technology Patna,2025-06-13T06:30:32Z,2025,4220597,74,3,PT49S,unknown,https://www.youtube.com/watch?v=lmmhGlpKGzA,16,Relevant,"Inside IIT Patna’s 2025 Campus Immersion 💡 Mentorship, Innovation & Epic Moments!",Welcome Aboard the Immersion! Immersion. Inspiration. Impact. Join us as IIT Patna's 2025 Campus Immersion Experience .,"Inside IIT Patna’s 2025 Campus Immersion 💡 Mentorship, Innovation & Epic Moments! Welcome Aboard the Immersion! Immersion. Inspiration. Impact. Join us as IIT Patna's 2025 Campus Immersion Experience .",12,81,17,119,29,201,1,0,0,2,0,1.8e-05,15.255487382133962,4.31748811353631,1.3862943611198906,384
CkQ_yJEpoak,KIIT University,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were ...,The Deshbhakt,2025-02-18T16:50:53Z,2025,3390160,155221,17975,PT17M21S,unknown,https://www.youtube.com/watch?v=CkQ_yJEpoak,11,Relevant,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,16,95,19,121,35,217,0,0,0,0,0,0.051088,15.036387970854262,11.952611629262629,9.796792813865164,499
JeuxEj6tU24,KIIT University,KIIT | A Global Hub for Sports Excellence,"Welcome to KIIT (Kalinga Institute of Industrial Technology) – where sports meets spirit, and champions are made! Recognized as ...",KIIT University,2025-05-24T13:38:00Z,2025,2819079,16,0,PT20S,unknown,https://www.youtube.com/watch?v=JeuxEj6tU24,10,Relevant,KIIT | A Global Hub for Sports Excellence,"Welcome to KIIT (Kalinga Institute of Industrial Technology) – where sports meets spirit, and champions are made! Recognized as .","KIIT | A Global Hub for Sports Excellence Welcome to KIIT (Kalinga Institute of Industrial Technology) – where sports meets spirit, and champions are made! Recognized as .",8,41,20,129,28,171,0,0,0,1,0,6e-06,14.851921148551328,2.833213344056216,0.0,404
56wNWgBzVeo,IIT Bombay,IIT Bombay lecture auditorium #iitbombay #classroom #motivation #shorts #short #viralshort #iit #jee,,Sagar Chauhan [IITB],2024-04-14T05:50:43Z,2024,2766562,0,380,PT15S,unknown,https://www.youtube.com/watch?v=56wNWgBzVeo,13,Relevant,IIT Bombay lecture auditorium #iitbombay #classroom #motivation #shorts #short #viralshort #iit #jee,,IIT Bombay lecture auditorium #iitbombay #classroom #motivation #shorts #short #viralshort #iit #jee,12,100,0,0,12,100,0,8,0,0,0,0.000137,14.833116313517186,0.0,5.942799375126701,809
